SkillNum(20001)
Action
{
}
[
	SkillName(伤害提升);
	DemageChange(0,{%1},1,-1);
	Icon(jinengxuanze_tubiao_jibu_kezhuangbei);
	Description(输出伤害提升{%2}%);
	1, 1, 100, , , , , , ,
	2, 2, 200, , , , , , ,
	3, 3, 300, , , , , , ,
	4, 4, 400, , , , , , ,
	5, 5, 500, , , , , , ,
	6, 6, 600, , , , , , ,
	7, 7, 700, , , , , , ,
	8, 8, 800, , , , , , ,
	9, 9, 900, , , , , , ,
	10, 10, 1000, , , , , , ,
	11, 11, 1100, , , , , , ,
	12, 12, 1200, , , , , , ,
	13, 13, 1300, , , , , , ,
	14, 14, 1400, , , , , , ,
	15, 15, 1500, , , , , , ,
	16, 16, 1600, , , , , , ,
]
